file,line,before,after
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,117,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,118,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,119,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,122,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,124,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,125,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,127,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,130,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,131,倫理,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,134,学校・学習,学校
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,138,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,140,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,144,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,145,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,148,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,150,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,152,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,155,文化・芸術,文化
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,156,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,157,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,159,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,161,倫理,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,163,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,164,教育,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,167,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,168,文化・芸術,文化
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,169,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,170,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,173,社会・家族,家族
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,174,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,175,社会,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,178,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,179,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,182,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,183,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,185,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,188,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,190,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,191,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,192,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,194,文化・芸術,文化
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,195,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,197,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,200,倫理,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,201,宗教,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,204,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,205,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,208,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,209,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,211,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,212,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,213,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,215,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,216,倫理,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,217,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,222,社会,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,228,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,231,社会,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,234,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,236,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,238,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,240,社会・政治,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,241,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,248,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,249,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,250,社会,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,251,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,252,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,256,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,258,社会,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,261,教育,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,263,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,264,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,265,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,266,倫理,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,269,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,271,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,272,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,273,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,274,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,275,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,278,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,281,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,283,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,285,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,288,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,289,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,291,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,293,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,294,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,295,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,296,宗教,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,297,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,298,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,301,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,303,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,305,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,306,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,307,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,310,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,311,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,313,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,315,倫理,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,318,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,319,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,320,社会,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,322,倫理,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,323,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,327,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,329,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,332,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,334,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,339,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,341,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,344,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,346,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,350,文法・表現,文法
